"Country","Overall Score","Overall Rank","Change 2013-2023","Change 2022-2023"
"Canada",1.753,52,1.666,-0.33
"United States of America",4.141,30,0.0590000000000002,0.0259999999999998
"Regional Average",,,0.8625,-0.152
